isco3d,tasks_social_outward,tasks_social_inward,tasks_social,tasks_analytical,tasks_routine,tasks_manual,tasks_social_care,tasks_social_mngmt,ess_social,ess_social_outward,ess_social_inward,ess_analytical,ess_routine,ess_manual,ess_social_care,ess_social_mngmt,opt_social,opt_social_outward,opt_social_inward,opt_analytical,opt_routine,opt_manual,opt_social_care,opt_social_mngmt,weight_LFS,onet_nrca,onet_nrcp,onet_rcog,onet_rman,onet_nrma,onet_abstract,onet_routine,onet_manual
411,-.7078847425507629,.2543836429193448,-.4953478034143062,.6019180777231269,.8562434579205549,-.7026201193604622,-.337234199959286,-.0424201507788651,-.2825771296886325,-.4686731898771629,.5509036694257885,-.3507971242311378,1.910236933582432,-.6736557209173124,-.1937823964126933,-.1602345313720415,-.7317773175872923,-.9649656837721166,-.2538563583000373,1.460563880589759,-.8029742301781631,-.6675881730016632,-.5483516030516382,.1469130679496596,3352.903954572044,-1.2760586,-1.4491442,2.0436637,-.14771695,-.71349198,-1.4790019,1.1187871,-.71349198
412,-.3101378836207218,1.37457214706843,.0782271108634093,.9848933982025074,3.530095387929451,-.9013313948811453,-.5330505546196064,.409709161523313,-.0585288706189792,-.5546737264470906,1.849988764840569,.8199721122048864,3.101205014215934,-.8640395808956459,-.4470512495873481,1.113770995006593,.3238632252122511,.3268799788078667,.1987861892204852,.9379486080773173,3.352030918580693,-.856526727703893,-.5483516030516382,-.784558727709082,2606.718400090351,-.8325758,-1.4083222,.80932814,-.6580711,-.78193766,-1.2161636,.089255884,-.78193766
413,-1.006194886748294,-1.313880262889375,-1.212316446261451,1.990203614460881,-.0509563040467491,-.8268146665608892,-.5330505546196064,-.9466787753832212,-.8426977773627657,-.6836745313019821,-1.072952699842687,1.321730356391754,-.2483927125657917,-.8640395808956459,-.4470512495873481,-.7972372945613589,-1.485806276729823,-1.334064444509254,-1.159141453341082,2.24448678935842,.2357770570115509,-.7148228116772206,-.5483516030516382,-.784558727709082,423.9485095641576,-.57453448,-.76853091,2.0871739,.60324121,-.82422453,-.72889853,1.5875981,-.82422453
421,.1000385646508831,-.9218142864371951,-.1547876980619127,-.4273280960652077,.9039908138135707,-.8206049392008677,-.2270875004628558,-.3250009709677264,-.0678642147468814,.0957053313629875,-.6466904029097122,-.52850316904732,.8216176723783708,-.780746642155125,-.1621237897658614,-.1204218586727091,-.2699345801124921,.0731245808010842,-.9611103388008534,-.2270479368983327,.8200746560557651,-.7856747696905568,-.2976870049869538,-.4934737915657252,1462.774375337409,-.95199412,-.10918052,1.9744051,.048777476,-.41579914,-.57591283,1.1938682,-.41579914
422,1.111438852925537,-.5190798480407381,.8329788631431335,-.4307475185694879,-.0244299952172958,-.7814738001226381,.4677885914220309,-.6775541847271629,.6906695406615544,.8786685497183707,-.3589714073230557,-.5339787054422163,.0280820204384144,-.7348505330532054,.363007066518889,-.5394028427942542,.7954305425172624,1.208615907235474,-.5484332543054566,-.227566404430587,-.0923364448150413,-.7568091571666049,.5475244628638071,-.6071355285359883,3659.901621258236,-.35864028,-.064349078,1.2371866,-.25207114,-.67036748,-.22956166,.58131081,-.67036748
431,-.5610972112789619,-.6897752391491702,-.667420277697621,-.266615238364039,1.98853789766922,-.9013313948811453,-.5330505546196064,-.8497939227470402,-.7306736478279391,-.603816890201335,-.8873691147834327,-.6016762463245716,1.601861269846971,-.8640395808956459,-.4470512495873481,-.7972372945613589,-.2793599421017738,-.2663144580911052,-.1568615266884966,.1415824785345498,2.090690069850326,-.856526727703893,-.5483516030516382,-.5849576286393516,3000.975488329772,-.53989512,-1.0184414,2.1381669,-.20689815,-.94299728,-.84572887,1.1396303,-.94299728
432,-.8404670288607767,.3626685316537561,-.639697490174198,-.0922246906457498,-.3119751829285699,-.6463185912962686,-.5134689191535743,.3192832990628772,-.4779970000993857,-.6937079272351403,.5509036694257885,-.2811084792051841,-.2657609970750301,-.5070698434362705,-.4470512495873481,.8271197515714005,-.7166967384044417,-.8511602325448322,-.0350791269984513,.1249915175024089,-.3078361166177328,-.725844227368184,-.4910568377797104,-.5516907787943967,4635.220212446759,-.60528362,-.50544655,1.1633867,.45684946,.12116809,-.60280728,.95609182,.1211681
441,-.5918752420295009,-.1936917587402894,-.5383659219851349,.2428787147737081,.5697593225624588,-.8019757571208037,-.5330505546196064,-.7206141192321323,-.5252960770140902,-.5116734581621267,-.3422173336718731,-.0581048151221317,.5331800903499444,-.7212516859118957,-.4470512495873481,-.7972372945613589,-.3547628380160268,-.5497295779428361,.0856255523403545,.5024358809836165,.4954648788089795,-.8092920890283356,-.5483516030516382,-.3188228298797112,2655.461179355509,-.9049179,-1.0169163,1.7543269,-.15260944,-.52302289,-1.0430037,.94516402,-.52302289
511,1.112359563247134,.683789236176494,1.132171015848712,-.7105702601697493,.0763699783346269,-.4542310249596082,1.13954747477063,.3343542761396168,.9776943275781672,1.068586401310294,.2261323955720933,-.5250187367960222,.1237848126321778,-.3642819484525203,1.11477334498969,.1317250684230623,1.002489288440529,.8036325447600033,1.066351071968153,-.7460339366849932,-.0065982433327158,-.502266937637212,.8123990721566481,.4962149913216877,477.192455411423,-1.453018,-.95686734,-.44008288,-.5122841,-.1639287,-1.3078752,-.56198615,-.1639287
512,-.5885606848717506,-.7761897808978139,-.7133062708398381,-.4512640535951689,.72255086142011,3.033151860428381,-.5330505546196064,-.9466787753832212,-.5962446923861471,-.6062740483890472,-.2935016425938188,-.7856542691930896,1.225430287218168,1.991718318779358,-.4470512495873481,-.7972372945613589,-.6714550008558898,-.3374977905189818,-1.159141453341082,-.0027588824450767,-.1381734063767462,3.791361717970962,-.5483516030516382,-.784558727709082,2198.912290373351,-.44885814,-.043003108,-.75741649,.84299433,.27156335,-.26693931,.050498985,.27156335
